PTHR11589.mag.mod	NERVE GROWTH FACTOR  NGF -RELATED
PTHR11589.SF3.mod	BRAIN-DERIVED NEUROTROPHIC FACTOR
PTHR11589.SF11.mod	PREPRO-NEUROTROPHIN
PTHR11589.SF10.mod	BETA-NERVE GROWTH FACTOR
PTHR11589.SF8.mod	NEUROTROPHIN-4
PTHR11589.SF4.mod	NEUROTROPHIN-3
PTHR11707.mag.mod	L-ASPARAGINASE
PTHR11707.SF28.mod	60 KDA LYSOPHOSPHOLIPASE
PTHR23076.mag.mod	METALLOPROTEASE M41 FTSH
PTHR23076.SF118.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 6, CHLOROPLASTIC
PTHR23076.SF78.mod	ATP-DEPENDENT METALLOPROTEASE
PTHR23076.SF58.mod	INACTIVE ATP-DEPENDENT ZINC METALLOPROTEASE FTSHI 5, CHLOROPLASTIC-RELATED
PTHR23076.SF122.mod	ATPASE, AAA-TYPE, CORE-RELATED
PTHR23076.SF110.mod	INACTIVE ATP-DEPENDENT ZINC METALLOPROTEASE FTSHI 3, CHLOROPLASTIC-RELATED
PTHR23076.SF115.mod	AAA DOMAIN-CONTAINING PROTEIN
PTHR23076.SF126.mod	AAA DOMAIN-CONTAINING PROTEIN
PTHR23076.SF127.mod	AAA DOMAIN-CONTAINING PROTEIN
PTHR23076.SF131.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 8, CHLOROPLASTIC
PTHR23076.SF116.mod	AAA DOMAIN-CONTAINING PROTEIN
PTHR23076.SF99.mod	INACTIVE ATP-DEPENDENT ZINC METALLOPROTEASE FTSHI 4, CHLOROPLASTIC-RELATED
PTHR23076.SF129.mod	ATP-DEPENDENT ZINC METALLOPROTEASE-RELATED
PTHR23076.SF117.mod	ATPASE, AAA-TYPE, CORE-RELATED
PTHR23076.SF37.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 4, MITOCHONDRIAL
PTHR23076.SF111.mod	INACTIVE ATP-DEPENDENT ZINC METALLOPROTEASE FTSHI 1, CHLOROPLASTIC-RELATED
PTHR23076.SF130.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 9, CHLOROPLASTIC
PTHR23076.SF56.mod	INACTIVE ATP-DEPENDENT ZINC METALLOPROTEASE FTSHI 2, CHLOROPLASTIC-RELATED
PTHR23076.SF113.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 1, CHLOROPLASTIC-RELATED
PTHR23076.SF120.mod	ATPASE, AAA-TYPE, CORE, P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASE-RELATED
PTHR23076.SF103.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 4 MITOCHONDRIAL
PTHR23076.SF125.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH PROTEIN
PTHR23076.SF108.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 4, MITOCHONDRIAL-LIKE
PTHR23076.SF97.mod	ATP-DEPENDENT ZINC METALLOPROTEASE YME1L1
PTHR23076.SF128.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 11, CHLOROPLASTIC/MITOCHONDRIAL
PTHR23076.SF49.mod	ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 7, CHLOROPLASTIC
