1j09A04,1.10.8.70
3c3dA02,1.10.8.240
3c9pA00,1.10.8.290
2ptrB03,1.10.40.30
1vdkB03,1.10.40.30
1k7wA03,1.10.40.30
1c3cA03,1.10.40.30
1tj7A03,1.10.40.30
1dofA03,1.10.40.30
3e04A03,1.10.40.30
1q5nA03,1.10.40.30
1j3uA03,1.10.40.30
1jswB03,1.10.40.30
2p0tA01,1.10.60.30
2p0tA02,1.10.60.30
1k4tA04,1.10.132.10
1rr8C04,1.10.132.10
1a35A04,1.10.132.10
3bzcA04,1.10.150.310
1tuzA00,1.10.238.110
1musA01,1.10.246.40
1ezjA02,1.10.287.340
3ce2A02,1.10.287.830
1jfbA00,1.10.630.10
1n40A00,1.10.630.10
2ij2B00,1.10.630.10
2zwuA00,1.10.630.10
2cibA00,1.10.630.10
2zbxA00,1.10.630.10
1s1fA00,1.10.630.10
1po5A00,1.10.630.10
1io7A00,1.10.630.10
1odoA00,1.10.630.10
1lfkA00,1.10.630.10
1n97A00,1.10.630.10
1q5dA00,1.10.630.10
1izoA00,1.10.630.10
2z3tA00,1.10.630.10
1cptA00,1.10.630.10
1tqnA00,1.10.630.10
3czhA00,1.10.630.10
1ft5A00,1.10.710.10
1i4mA00,1.10.790.10
1i17A00,1.10.790.10
1u5lA00,1.10.790.10
2prp000,1.10.790.10
1i5jA00,1.10.1440.10
1wteB01,1.10.3250.10
3b9wA00,1.10.3430.10
1gw3A00,1.20.5.20
2spcA00,1.20.58.60
1u5pA01,1.20.58.60
1cunA02,1.20.58.60
1cunA01,1.20.58.60
1quuA02,1.20.58.60
1hciA04,1.20.58.60
1hciA02,1.20.58.60
1hciA01,1.20.58.60
1hf8A02,1.20.58.150
1wolA00,1.20.120.330
1o3uA00,1.20.120.330
2hsbA00,1.20.120.330
2ra7A00,1.20.120.330
3c18A02,1.20.120.330
2q00B00,1.20.120.330
1jogA00,1.20.120.330
1k04A02,1.20.120.330
1knyA02,1.20.120.330
2pbeA02,1.20.120.330
3c8gD00,1.20.120.330
3brjC00,1.20.120.330
1zzpA00,1.20.120.330
1oedE00,1.20.120.370
2bg9A02,1.20.120.370
2r05A02,1.20.120.560
1ja1A03,1.20.990.10
1ddgA02,1.20.990.10
1f20A02,1.20.990.10
1p7tB04,1.20.1220.12
1n8iA04,1.20.1220.12
1mtyG01,1.20.1280.10
2h88C02,1.20.1300.10
2h88D00,1.20.1300.10
1kf6D00,1.20.1300.10
1nekC00,1.20.1300.10
1kf6C00,1.20.1300.10
1h6kA01,1.25.40.180
2i2oA00,1.25.40.180
1uw4B00,1.25.40.180
1h2tC03,1.25.40.180
1hu3A00,1.25.40.180
1h2vC02,1.25.40.180
1h2uA01,1.25.40.180
1paqA00,1.25.40.180
1h03P02,2.10.70.10
1h03P01,2.10.70.10
1ly2A02,2.10.70.10
1elvA03,2.10.70.10
2cg7A01,2.10.70.10
1ly2A01,2.10.70.10
2cg7A02,2.10.70.10
1y8eB04,2.10.70.10
1ridA03,2.10.70.10
1ok3A01,2.10.70.10
1ridA01,2.10.70.10
1ok3A02,2.10.70.10
1qubA04,2.10.70.10
1qubA01,2.10.70.10
1qubA03,2.10.70.10
1qubA02,2.10.70.10
2o39C01,2.10.70.10
2o39C02,2.10.70.10
1qubA05,2.10.70.10
1g44C04,2.10.70.10
1hfiA00,2.10.70.10
1srzA00,2.10.70.10
1tpmA00,2.10.70.10
1gknA02,2.10.70.10
1o9aA01,2.10.70.10
1qo6A01,2.10.70.10
2jraA01,2.10.70.10
2ra8A01,2.20.140.10
1nh2D02,2.30.18.10
1nh2C00,2.30.18.10
1nvpC00,2.30.18.10
1nvpD02,2.30.18.10
2e6fA02,2.30.26.10
1ra0A01,2.30.40.10
1gkpB01,2.30.40.10
1onwA01,2.30.40.10
1p1mA01,2.30.40.10
2p9bA01,2.30.40.10
2i9uA01,2.30.40.10
1rk6A01,2.30.40.10
1gkpA01,2.30.40.10
1kcxA01,2.30.40.10
2r8cA01,2.30.40.10
2ogjA01,2.30.40.10
2pajA01,2.30.40.10
1yrrA01,2.30.40.10
2qt3A01,2.30.40.10
2vhlB01,2.30.40.10
2icsA01,2.30.40.10
3be7A01,2.30.40.10
2qs8A01,2.30.40.10
1gkrB01,2.30.40.10
2oodA01,2.30.40.10
2imrA01,2.30.40.10
1ejxC01,2.30.40.10
1gkrA01,2.30.40.10
1o12A01,2.30.40.10
2qamZ00,2.30.170.40
2ck3A01,2.40.30.20
1v0eD03,2.40.30.20
1i8dC02,2.40.30.20
1i8dA01,2.40.30.20
1kzlA02,2.40.30.20
2g50F03,2.40.33.10
1pklA03,2.40.33.10
1pkyC03,2.40.33.10
1af6A00,2.40.170.10
1a0sP00,2.40.170.10
1u2hA00,2.60.40.10
1k5nB00,2.60.40.10
3d9aL02,2.60.40.10
3d9aL01,2.60.40.10
1k5nA02,2.60.40.10
2q20A00,2.60.40.10
2p45B00,2.60.40.10
1mexH01,2.60.40.10
1mjuL01,2.60.40.10
1ncwH02,2.60.40.10
1ogaD01,2.60.40.10
2nw2A01,2.60.40.10
1mjuH01,2.60.40.10
1my7A00,2.60.40.10
1ogaE01,2.60.40.10
1edqA01,2.60.40.10
1q9rB02,2.60.40.10
1smoB00,2.60.40.10
1k3iA03,2.60.40.10
3bmvA04,2.60.40.10
1oaqL00,2.60.40.10
1l6xA02,2.60.40.10
1kgcD01,2.60.40.10
1x9qA01,2.60.40.10
1v05A00,2.60.40.10
1kgcE01,2.60.40.10
2hftA01,2.60.40.10
1ncwH01,2.60.40.10
1ngzB02,2.60.40.10
1q0xL02,2.60.40.10
2hftA02,2.60.40.10
3bfoA00,2.60.40.10
1w8oA02,2.60.40.10
1l6xA01,2.60.40.10
1cs6A01,2.60.40.10
2rb8A00,2.60.40.10
1xauA00,2.60.40.10
3bp6A00,2.60.40.10
1eajB00,2.60.40.10
1t2jA00,2.60.40.10
3b9eA01,2.60.40.10
1my5A00,2.60.40.10
1ogaD02,2.60.40.10
2rikA01,2.60.40.10
2g5rA00,2.60.40.10
1wwcA00,2.60.40.10
2rikA02,2.60.40.10
1nkrA02,2.60.40.10
2bk8A00,2.60.40.10
3d85D02,2.60.40.10
1mfaH01,2.60.40.10
1nkrA01,2.60.40.10
1vcaA02,2.60.40.10
3b4nA01,2.60.40.10
1uvqA02,2.60.40.10
1clcA01,2.60.40.10
1eerB02,2.60.40.10
1uacH00,2.60.40.10
1seqH02,2.60.40.10
1vemA02,2.60.40.10
2otuA00,2.60.40.10
2rikA03,2.60.40.10
1fltX00,2.60.40.10
1cs6A03,2.60.40.10
2ialA01,2.60.40.10
1pkoA00,2.60.40.10
1cfbA02,2.60.40.10
